日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
104/05/26,104 台北二,胡蘿蔔,20.6,13.6,10.6,14.4,7,"9,255",5,133272
104/05/27,104 台北二,胡蘿蔔,21.3,12.9,10,14,-3,"10,685",15,149590
104/05/28,104 台北二,胡蘿蔔,41.6,13.5,10.4,18.5,32,"11,274",6,208569
104/05/29,104 台北二,胡蘿蔔,23.6,13.4,10.5,14.9,-19,"10,380",-8,154662
104/05/30,104 台北二,胡蘿蔔,22.5,12.1,9.2,13.6,-9,"12,650",22,172040
104/05/31,104 台北二,胡蘿蔔,39.6,13.7,9.9,18.1,33,"12,876",2,233055.6
104/06/02,104 台北二,胡蘿蔔,19.6,14,11.6,14.6,-19,"10,160",-21,148336
104/06/03,104 台北二,胡蘿蔔,39.1,13.5,9.7,17.9,23,"13,153",29,235438.7
104/06/04,104 台北二,胡蘿蔔,20.8,14.3,11.8,15.1,-16,"7,900",-40,119290
104/06/05,104 台北二,胡蘿蔔,20.6,13.1,7.2,13.4,-11,"11,070",40,148338
104/06/06,104 台北二,胡蘿蔔,42,13.6,9.2,18.4,37,"13,690",24,251896
104/06/07,104 台北二,胡蘿蔔,22.3,13.6,10.2,14.7,-20,"9,760",-29,143472
104/06/09,104 台北二,胡蘿蔔,20.9,14.4,9.8,14.8,1,"10,950",12,162060
104/06/10,104 台北二,胡蘿蔔,41.6,13.8,8.9,18.4,24,"13,730",25,252632
104/06/11,104 台北二,胡蘿蔔,19.3,13,8.3,13.3,-28,"10,360",-25,137788
104/06/12,104 台北二,胡蘿蔔,20.2,11.2,7.3,12.2,-8,"11,270",9,137494
104/06/13,104 台北二,胡蘿蔔,20.1,13.5,8.7,13.9,14,"9,510",-16,132189
104/06/14,104 台北二,胡蘿蔔,44.5,15.4,10.6,20.2,45,"12,032",27,243046.4
104/06/16,104 台北二,胡蘿蔔,22,14.3,10.2,15,-26,"11,430",-5,171450
104/06/17,104 台北二,胡蘿蔔,31.9,14.1,6.3,16.1,7,"13,594",19,218863.4
104/06/18,104 台北二,胡蘿蔔,22.1,13.2,7.3,13.8,-14,"10,970",-19,151386
104/06/19,104 台北二,胡蘿蔔,19.8,11.8,5.6,12.2,-12,"12,940",18,157868
104/06/20,104 台北二,胡蘿蔔,31.3,13.5,6.8,15.7,29,"12,964",0,203534.8
104/06/23,104 台北二,胡蘿蔔,21.3,12.1,5.9,12.7,-19,"11,397",-12,144741.9
104/06/24,104 台北二,胡蘿蔔,22.4,12.9,5.8,13.4,6,"10,260",-10,137484
104/06/25,104 台北二,胡蘿蔔,33.6,14.8,6.3,16.9,26,"11,650",14,196885
104/06/26,104 台北二,胡蘿蔔,18.4,12.5,7.4,12.7,-25,"10,078",-13,127990.6
104/06/27,104 台北二,胡蘿蔔,39.1,12.8,6.7,16.8,32,"13,116",30,220348.8
104/06/28,104 台北二,胡蘿蔔,21,11.9,7.2,12.8,-24,"10,480",-20,134144
104/06/30,104 台北二,胡蘿蔔,21.9,14,8.7,14.5,13,"9,660",-8,140070
104/07/01,104 台北二,胡蘿蔔,40.8,13.2,4.9,17.1,18,"11,510",19,196821
104/07/02,104 台北二,胡蘿蔔,21.9,13.2,6.7,13.6,-20,"9,780",-15,133008
104/07/03,104 台北二,胡蘿蔔,18.5,11.6,3.4,11.4,-16,"10,990",12,125286
104/07/04,104 台北二,胡蘿蔔,43.7,13.8,7.5,18.6,63,"9,498",-14,176662.8
104/07/05,104 台北二,胡蘿蔔,18.1,13.3,6.1,12.8,-31,"9,980",5,127744
104/07/07,104 台北二,胡蘿蔔,25.1,15.6,9.2,16.2,27,"9,660",-3,156492
104/07/08,104 台北二,胡蘿蔔,40.4,14.8,7.9,18.5,14,"12,566",30,232471
104/07/09,104 台北二,胡蘿蔔,22.6,14.5,7.8,14.8,-20,"11,488",-9,170022.4
104/07/10,104 台北二,胡蘿蔔,23.1,13.3,6,13.8,-7,"12,150",6,167670
104/07/11,104 台北二,胡蘿蔔,23.1,14.4,5.8,14.4,4,"10,160",-16,146304
104/07/12,104 台北二,胡蘿蔔,38,16,6.4,18.5,28,"11,886",17,219891
104/07/14,104 台北二,胡蘿蔔,22.2,14.5,6.4,14.4,-22,"8,970",-25,129168
104/07/15,104 台北二,胡蘿蔔,30.7,14.4,6.6,16.1,12,"11,236",25,180899.6
104/07/16,104 台北二,胡蘿蔔,21.7,12.5,3.7,12.6,-22,"11,728",4,147772.8
104/07/17,104 台北二,胡蘿蔔,19.7,13.7,7.1,13.6,8,"9,900",-16,134640
104/07/18,104 台北二,胡蘿蔔,17.9,13.7,8.9,13.6,0,"9,130",-8,124168
104/07/19,104 台北二,胡蘿蔔,18.9,13.3,8.2,13.4,-1,"10,540",15,141236
104/07/21,104 台北二,胡蘿蔔,19.4,13,7.8,13.3,-1,"11,230",7,149359
104/07/22,104 台北二,胡蘿蔔,18.1,13.5,7.6,13.3,0,"9,680",-14,128744
104/07/23,104 台北二,胡蘿蔔,32.1,15.2,8.6,17.3,30,"9,642",0,166806.6
104/07/24,104 台北二,胡蘿蔔,20.1,14.2,10.1,14.6,-16,"8,550",-11,124830
104/07/25,104 台北二,胡蘿蔔,19,12.7,9.9,13.4,-8,"10,859",27,145510.6
104/07/26,104 台北二,胡蘿蔔,17.6,12.7,8.8,12.9,-4,"10,718",-1,138262.2
104/07/28,104 台北二,胡蘿蔔,18.6,13.2,9.4,13.5,5,"10,017",-7,135229.5
104/07/29,104 台北二,胡蘿蔔,19,12.9,10.4,13.6,1,"11,130",11,151368
104/07/30,104 台北二,胡蘿蔔,19.8,14.3,10.7,14.7,8,"8,880",-20,130536
